City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,vicuna,-30.0319,-70.7081,11.85,36,0,1.13,CL,1705411438
123,avinashi,11.2,77.2833,27.43,57,13,3.0,IN,1705411440
124,kataysk,56.289,62.5841,-13.27,79,100,5.73,RU,1705411441
125,saint-pierre,-21.3393,55.4781,31.43,74,40,1.54,RE,1705411442
126,korla,41.7597,86.1469,-2.46,64,5,2.22,CN,1705411444
127,al ghayzah,16.2079,52.176,26.59,64,6,4.43,YE,1705411445
128,santo antonio do ica,-3.1022,-67.9397,24.94,96,100,0.64,BR,1705411446
129,talnakh,69.4865,88.3972,-34.33,97,100,3.18,RU,1705411458
130,anadyr,64.75,177.4833,-24.72,70,0,2.0,RU,1705411459
131,dampit,-8.2116,112.7493,22.42,93,100,0.8,ID,1705411461
132,port lincoln,-34.7333,135.8667,16.45,85,52,8.08,AU,1705411462
133,constitucion,-35.3333,-72.4167,19.07,61,0,3.38,CL,1705411469
134,tralee,52.2704,-9.7026,3.14,75,0,1.03,IE,1705411471
135,hermanus,-34.4187,19.2345,21.68,70,21,8.68,ZA,1705411473
136,barra de santo antonio,-9.4047,-35.5072,30.6,56,5,4.27,BR,1705411474
137,sabana de la mar,19.0593,-69.3884,25.12,88,40,0.0,DO,1705411476
138,kudahuvadhoo,2.6708,72.8944,27.99,66,5,4.01,MV,1705411478
139,olinda,-8.0089,-34.8553,29.85,58,40,4.63,BR,1705411479
140,tura,25.5198,90.2201,12.92,70,0,0.87,IN,1705411481
141,saipan,15.1355,145.701,23.39,94,100,8.23,MP,1705411482
142,owo,7.1962,5.5868,36.29,8,46,1.77,NG,1705411484
143,lebu,-37.6167,-73.65,15.53,80,2,6.85,CL,1705411485
144,olonkinbyen,70.9221,-8.7187,-3.17,77,100,11.07,SJ,1705411488
145,kailua-kona,19.6406,-155.9956,24.04,76,0,7.72,US,1705411491
146,georgetown,5.4112,100.3354,27.19,86,20,1.54,MY,1705411492
147,margaret river,-33.95,115.0667,23.84,65,39,7.62,AU,1705411493
148,voss,60.623,6.4229,-5.26,95,100,1.22,NO,1705411495
149,homer,59.6425,-151.5483,-6.07,86,0,1.54,US,1705411356
150,nouadhibou,20.931,-17.0347,20.22,63,100,5.18,MR,1705411498
151,fortuna,40.5982,-124.1573,10.52,96,100,4.02,US,1705411504
152,alakurtti,66.9672,30.3491,-15.18,92,100,4.56,RU,1705411506
153,new norfolk,-42.7826,147.0587,20.72,79,81,1.36,AU,1705411507
154,nikolayevsk-on-amure,53.1406,140.73,-24.8,97,39,1.89,RU,1705411509
155,mount isa,-20.7333,139.5,27.87,74,100,3.6,AU,1705411510
156,la passe,45.5549,-0.8967,5.55,87,100,1.12,FR,1705411512
157,mirik,26.8945,88.1848,5.52,70,4,2.04,IN,1705411513
158,afaahiti,-17.75,-149.2833,25.93,84,100,9.61,PF,1705411515
159,tongchuanshi,35.0806,109.0897,-0.86,97,100,1.03,CN,1705411516
160,havre,49.5833,0.3333,4.63,60,0,3.09,FR,1705411517
161,hoemul-li,41.4339,129.67,-2.84,58,1,1.49,KP,1705411240
162,milford haven,51.7128,-5.0341,5.81,87,42,4.76,GB,1705411520
163,ixtapa,20.7,-105.2,17.9,94,0,1.03,MX,1705411522
164,lae,-6.7221,146.9847,26.26,89,100,2.06,PG,1705411523
165,birao,10.2849,22.7882,33.05,8,31,4.16,CF,1705411525
166,cova figueira,14.8905,-24.2934,23.58,56,100,4.33,CV,1705411526
167,makurazaki,31.2667,130.3167,10.55,60,1,1.57,JP,1705411527
168,lazaro cardenas,17.9583,-102.2,21.46,67,3,1.69,MX,1705411447
169,chern',53.4523,36.9145,-2.59,94,100,4.45,RU,1705411530
170,meadow lakes,61.6247,-149.6011,-4.1,82,0,0.0,US,1705411353
171,arawa,-6.2132,155.5367,25.99,88,100,1.53,PG,1705411533
172,carnarvon,-24.8667,113.6333,23.35,78,0,6.47,AU,1705411535
173,nuuk,64.1835,-51.7216,1.34,86,75,1.54,GL,1705411536
174,kendari,-3.945,122.4989,25.65,88,100,0.02,ID,1705411537
175,la'ie,21.6477,-157.9253,25.98,79,75,4.83,US,1705411539
176,kill devil hills,36.0307,-75.676,12.21,91,100,2.06,US,1705411525
177,fort st. john,56.2499,-120.8529,-16.06,85,100,3.09,CA,1705411477
178,tari,12.4086,4.4914,31.83,7,11,6.01,NG,1705411543
179,susuman,62.7833,148.1667,-36.12,99,98,0.89,RU,1705411544
180,sosnovo-ozerskoye,52.5249,111.5418,-18.42,74,0,6.6,RU,1705411545
181,brookings,44.3114,-96.7984,-21.01,67,0,7.2,US,1705411349
182,ushuaia,-54.8,-68.3,6.81,87,75,3.09,AR,1705411251
183,prince george,53.9166,-122.753,-13.31,87,100,1.03,CA,1705411550
184,nadi,-17.8,177.4167,26.0,94,75,1.54,FJ,1705411519
185,grand-lahou,5.1367,-5.0242,31.12,59,1,2.66,CI,1705411553
186,codrington,-38.2667,141.9667,17.07,98,70,4.64,AU,1705411554
187,tokonou,9.65,-9.7833,34.28,15,3,2.49,GN,1705411556
188,sulak,43.2734,47.5146,5.07,77,15,10.83,RU,1705411557
189,bardai,11.65,7.2333,28.02,9,8,6.92,NG,1705411559
190,namibe,-15.1961,12.1522,23.99,71,100,3.82,AO,1705411560
191,lihue,21.9789,-159.3672,23.58,73,75,6.17,US,1705411561
192,charlottetown,46.2352,-63.1267,-2.11,72,100,5.81,CA,1705411122
193,amurzet,47.6967,131.0981,-20.89,97,11,1.28,RU,1705411564
194,greymouth,-42.4667,171.2,11.75,85,0,1.87,NZ,1705411565
195,sydney,-33.8679,151.2073,23.16,83,96,2.24,AU,1705411259
196,byron bay,-28.65,153.6167,23.17,90,42,2.68,AU,1705411568
197,st. john's,47.5649,-52.7093,-2.62,69,20,6.17,CA,1705411403
198,gualeguaychu,-33.0094,-58.5172,18.27,98,100,7.36,AR,1705411572
199,jeremoabo,-10.075,-38.4808,29.02,55,67,4.82,BR,1705411574
200,sekong,-6.3996,106.0252,25.32,87,32,1.38,ID,1705411575
201,kodiak,57.79,-152.4072,2.73,60,0,8.75,US,1705411386
202,talara,-4.5772,-81.2719,25.42,73,40,9.26,PE,1705411578
203,ciudad lazaro cardenas,17.9583,-102.2,21.46,67,3,1.69,MX,1705411580
204,vredendal,-31.6683,18.5012,27.2,42,0,10.24,ZA,1705411581
205,scottburgh,-30.2867,30.7532,23.91,79,100,4.6,ZA,1705411582
206,altai,46.3722,96.2583,-11.77,80,100,1.92,MN,1705411302
207,canton,23.1167,113.25,22.15,51,0,4.55,CN,1705411317
208,kuching,1.55,110.3333,26.68,95,40,1.34,MY,1705411428
209,masuguru,-11.3667,38.4167,25.95,83,100,3.25,TZ,1705411588
210,kingston,17.997,-76.7936,26.8,74,20,4.12,JM,1705411291
